Treatment
Control
Control
Dysplasia
HkNR
Control
Control
HkNR
HkNR
HkNR
Control
Dysplasia
Dysplasia
Dysplasia
Control
HkNR
Control
HkNR
Control
HkNR
Control
HkNR
Control
Dysplasia
Control
HkNR
Control
Dysplasia
Control
HkNR
Control
HkNR
HkNR
HkNR
HkNR
Dysplasia
HkNR
HkNR
Control
Dysplasia
HkNR
Dysplasia
Dysplasia
Dysplasia
HkNR
Control
HkNR
Control
Control
Control
Dysplasia
HkNR
Dysplasia
Control
Dysplasia
Control
Dysplasia
Dysplasia
HkNR
HkNR
Dysplasia
Control
HkNR
HkNR
